total 80
e00220 | 주계약((간편)신한통합건강보장보험 원(ONE) | ## 재해・상해 | 수술 | score 0.0426813
e00185 | 주계약((간편)신한통합건강보장보험 원(ONE) |  | \text { (a) } 1.5 \text { and } 2.5 \\ \text { (b) | score 0.040148
c00103 | 주계약((간편)신한통합건강보장보험 원(ONE) |  |  | score 0.039509
e28020 | (간편)[허혈심장질환납입면제형]보험료납입면제특약 | 제2-8조 특약내용의 변경 등 |  회사가 지급해야 할 계약 자적립액이 있을 경우 또는 「제2호 및 제3호의 사유」로 회사가 | score 0.0322665
e27505 | (간편)[일반암납입면제형]보험료납입면제특약 | 제2-8조 특약내용의 변경 등 |  회사가 지급해야 할 계약 자적립액이 있을 경우 또는 「제2호 및 제3호의 사유」로 회사가 | score 0.031545
e30020 | (간편)[소액암진단형]보험료납입보조특약 | 제2-8조 특약내용의 변경 등 | 로 회사가 지급해야 할 계약자적립액이 있을 경우 또는 「제2호 및 제3호의 사유」로 회사가 | score 0.03031
e29581 | (간편)[소액암진단형]보험료납입보조특약 | 제2-8조 특약내용의 변경 등 | 로 회사가 지급해야 할 계약자적립액이 있을 경우 또는 「제2호 및 제3호의 사유」로 회사가 | score 0.0302135
e28620 | (간편)[일반암납입면제형]보험료납입면제특약 | 제2-8조 특약내용의 변경 등 |  회사가 지급해야 할 계약 자적립액이 있을 경우 또는 「제2호 및 제3호의 사유」로 회사가 | score 0.0301178
e27715 | (간편)[남녀특정암납입면제형]보험료납입면제특약 | 제2-8조 특약내용의 변경 등 |  회사가 지급해야 할 계약 자적립액이 있을 경우 또는 「제2호 및 제3호의 사유」로 회사가 | score 0.0292735
e29342 | (간편)[급여입원수술형]보험료납입보조특약 | 제2-8조 특약내용의 변경 등 | 로 회사가 지급해야 할 계약자적립액이 있을 경우 또는 「제2호 및 제3호의 사유」로 회사가 | score 0.0292063
e00111 | 주계약((간편)신한통합건강보장보험 원(ONE) | # 熊 | (간편)신한통합건강보장보험 원(ONE) | score 0.029116
c01662 | (간편)항암호르몬약물허가치료특약 | 제2-3조 보험금 지급에 관한 세부규정 |  | score 0.0278502
e29010 | (간편)[뇌혈관질환납입면제형]보험료납입면제특약 | 제2-8조 특약내용의 변경 등 |  회사가 지급해야 할 계약 자적립액이 있을 경우 또는 「제2호 및 제3호의 사유」로 회사가 | score 0.0277831
e28839 | (간편)[남녀특정암납입면제형]보험료납입면제특약 | 제2-8조 특약내용의 변경 등 |  회사가 지급해야 할 계약 자적립액이 있을 경우 또는 「제2호 및 제3호의 사유」로 회사가 | score 0.0275836
e29770 | (간편)[급여입원수술형]보험료납입보조특약 | 제2-8조 특약내용의 변경 등 |  회사가 지급해야 할 계약 자적립액이 있을 경우 또는 「제2호 및 제3호의 사유」로 회사가 | score 0.0267541
e28195 | (간편)[허혈심장질환납입면제형]보험료납입면제특약 | 제2-8조 특약내용의 변경 등 |  회사가 지급해야 할 계약 자적립액이 있을 경우 또는 「제2호 및 제3호의 사유」로 회사가 | score 0.0263203
e27298 | (간편)[50%장해납입면제형]보험료납입면제특약 | 제2-8조 특약내용의 변경 등 |  회사가 지급해야 할 계약 자적립액이 있을 경우 또는 「제2호 및 제3호의 사유」로 회사가 | score 0.0262575
e27874 | (간편)[뇌혈관질환납입면제형]보험료납입면제특약 | 제2-8조 특약내용의 변경 등 |  회사가 지급해야 할 계약 자적립액이 있을 경우 또는 「제2호 및 제3호의 사유」로 회사가 | score 0.0260443
