뇌경색 진단만받아도지급되나요?
total 80 page 1
e15440 (간편)뇌혈관·허혈심장질환주요치료비특약 | 제2-2조 보험금의 지급사유 | score 0.0582003
e14296 (간편)혈전용해치료특약 | 제2-12조 주계약 약관 규정의 준용 | score 0.0466346
e00179 주계약((간편)신한통합건강보장보험 원(ONE) |  | score 0.0456142
e31714 (간편)[소액암진단형]보험료납입보조특약 |  | score 0.0448829
e31960 (간편)[소액암진단형]보험료납입보조특약 |  | score 0.0365058
e00191 주계약((간편)신한통합건강보장보험 원(ONE) |  | score 0.0338426
e14176 (간편)혈전용해치료특약 | 제2-1조의2 "급성뇌경색증"의 정의 및 진단확정 | score 0.0325225
e11907 (간편)[삭감없음용]뇌혈관질환진단특약 | 제2-3조 보험금 지급에 관한 세부규정 | score 0.0307804
e11763 (간편)[기본]뇌혈관질환진단특약 | 제2-3조 보험금 지급에 관한 세부규정 | score 0.0292735
e31961 (간편)[소액암진단형]보험료납입보조특약 |  | score 0.027151
e12056 (간편)[기본]뇌혈관질환진단특약 | 제2-1조의3 "뇌혈관질환"의 정의 및 진단확정 | score 0.0268952
e14198 (간편)혈전용해치료특약 | 제2-2조 보험금의 지급사유 | score 0.0266206
e32094 (간편)[소액암진단형]보험료납입보조특약 |  | score 0.0264808
e31901 (간편)[소액암진단형]보험료납입보조특약 |  | score 0.0259893
e32065 (간편)[소액암진단형]보험료납입보조특약 |  | score 0.0251929
e31959 (간편)[소액암진단형]보험료납입보조특약 |  | score 0.0239106
c02105 (간편)뇌전증진단특약 | 제2-3조 보험금 지급에 관한 세부규정 | score 0.0223635
e11992 (간편)[삭감없음용]뇌혈관질환진단특약 | 제2-12조 주계약 약관 규정의 준용 | score 0.0223053
c02239 (간편)뇌출혈진단특약 | 제2-3조 보험금 지급에 관한 세부규정 | score 0.0221669
e12149 (간편)[기본]뇌혈관질환진단특약 | 제2-12조 주계약 약관 규정의 준용 | score 0.0219001
e12213 (간편)[삭감없음용]뇌혈관질환진단특약 | 제2-1조의3 "뇌혈관질환"의 정의 및 진단확정 | score 0.0205065
e13343 (간편)급성심근경색증진단특약 | 제2-12조 주계약 약관 규정의 준용 | score 0.0204228
c02216 (간편)뇌졸중진단특약 | 제2-3조 보험금 지급에 관한 세부규정 | score 0.019591
e12307 (간편)[삭감없음용]뇌혈관질환진단특약 | 제2-12조 주계약 약관 규정의 준용 | score 0.0191484
e11848 (간편)[기본]뇌혈관질환진단특약 | 제2-12조 주계약 약관 규정의 준용 | score 0.0190417
e11749 (간편)[기본]뇌혈관질환진단특약 | 제2-1조의2 "뇌혈관질환"의 정의 및 진단확정 | score 0.0189506
e12453 (간편)뇌졸중진단특약 | 제2-12조 주계약 약관 규정의 준용 | score 0.0187596
e02531 (간편)[50%이상장해형]6대질병장해특약 | 제2-1조의5 “6대질병”의 정의 및 진단확정 | score 0.0181497
e11894 (간편)[삭감없음용]뇌혈관질환진단특약 | 제2-1조의2 "뇌혈관질환"의 정의 및 진단확정 | score 0.0180977
e13252 (간편)급성심근경색증진단특약 | 제2-3조 보험금 지급에 관한 세부규정 | score 0.0176379
e12071 (간편)[기본]뇌혈관질환진단특약 | 제2-3조 보험금 지급에 관한 세부규정 | score 0.0172113
e14191 (간편)혈전용해치료특약 | 제2-1조의5 보장계약 등의 정의 | score 0.015873
e14728 (간편)뇌혈관질환수술특약 | 제2-1조의3 "뇌혈관질환"의 정의 및 진단확정 | score 0.0157952
e14133 (간편)혈전용해치료특약 | 제2-1조의2 "급성뇌경색증"의 정의 및 진단확정 | score 0.0151515
e15613 (간편)급여주요뇌심장질환특정재활치료특약 | 제2-1조의3 "주요뇌심장질환"의 정의 및 진단확정 | score 0.0150212
e31896 (간편)[소액암진단형]보험료납입보조특약 |  | score 0.0147059
c02255 (간편)뇌출혈진단특약 | 제2-12조 주계약 약관 규정의 준용 | score 0.0136986
e00080 주계약((간편)신한통합건강보장보험 원(ONE) |  | score 0.0133333
c02488 (간편)특정부정맥진단특약 | 제2-12조 주계약 약관 규정의 준용 | score 0.0133333
c02489 (간편)혈전용해치료특약 | 제2-4조 보험금을 지급하지 않는 사유 | score 0.012987
