query: 입원첫날부터지급되나요?
total: 80 page: 2
e22689 | j05454 | tag | (간편)첫날부터중환자실입원특약 | 제2관 보험금의 지급 | 제2관 보험금의 지급 | 0.0116279
e22644 | j05428 | tag | (간편)첫날부터중환자실입원특약 | 제1편 일반사항 | 제1편 일반사항 | 0.0114943
e22646 | j05429 | tag | (간편)첫날부터중환자실입원특약 | 제2편 개별사항 | 제2편 개별사항 | 0.0113636
e22664 | j05447 | tag | (간편)첫날부터중환자실입원특약 | 제5관 기타사항 | 제5관 기타사항 | 0.011236
e22678 | j05449 | tag | (간편)첫날부터중환자실입원특약 | 제1편 일반사항 | 제1편 일반사항 | 0.0111111
e22681 | j05450 | tag | (간편)첫날부터중환자실입원특약 | 제2편 개별사항 | 제2편 개별사항 | 0.010989
e22806 | j05468 | tag | (간편)첫날부터중환자실입원특약 | 제5관 기타사항 | 제5관 기타사항 | 0.0108696
e21858 | j05227 | tag | (간편)[30일한도형]첫날부터입원특약 | 제2관 보험금의 지급 | 제2관 보험금의 지급 | 0.0107527
e21892 | j05247 | tag | (간편)[30일한도형]첫날부터입원특약 | 제2관 보험금의 지급 | 제2관 보험금의 지급 | 0.0106383
e22012 | j05267 | tag | (간편)[10일한도형]첫날부터입원특약 | 제2관 보험금의 지급 | 제2관 보험금의 지급 | 0.0105263
e22046 | j05287 | tag | (간편)[10일한도형]첫날부터입원특약 | 제2관 보험금의 지급 | 제2관 보험금의 지급 | 0.0104167
e22824 | j05475 | tag | (간편)첫날부터상급종합병원입원특약 | 제2관 보험금의 지급 | 제2관 보험금의 지급 | 0.0103093
e22861 | j05496 | tag | (간편)첫날부터상급종합병원입원특약 | 제2관 보험금의 지급 | 제2관 보험금의 지급 | 0.0102041
c01928 | j02342 | meta | (간편)암직접치료입원특약 | 제2-12조 주계약 약관 규정의 준용 |  | 0.010101
e21852 | j05222 | tag | (간편)[30일한도형]첫날부터입원특약 | 제1편 일반사항 | 제1편 일반사항 | 0.010101
e21854 | j05223 | tag | (간편)[30일한도형]첫날부터입원특약 | 제2편 개별사항 | 제2편 개별사항 | 0.01
c03994 | j05512 | meta | (간편)첫날부터상급종합병원입원특약 | 제2-12조 주계약 약관 규정의 준용 |  | 0.01
e21871 | j05240 | tag | (간편)[30일한도형]첫날부터입원특약 | 제5관 기타사항 | 제5관 기타사항 | 0.009901
e21881 | j05242 | tag | (간편)[30일한도형]첫날부터입원특약 | 제1편 일반사항 | 제1편 일반사항 | 0.0098039
e21884 | j05243 | tag | (간편)[30일한도형]첫날부터입원특약 | 제2편 개별사항 | 제2편 개별사항 | 0.0097087
e21995 | j05260 | tag | (간편)[30일한도형]첫날부터입원특약 | 제5관 기타사항 | 제5관 기타사항 | 0.0096154
c01951 | j02383 | meta | (간편)요양병원암입원특약 | 제2-3조 보험금 지급에 관한 세부규정 |  | 0.0095238
e22006 | j05262 | tag | (간편)[10일한도형]첫날부터입원특약 | 제1편 일반사항 | 제1편 일반사항 | 0.0095238
c02557 | j03331 | meta | (간편)뇌혈관·허혈심장질환상급종합병원입원특약 | 제2-3조 보험금 지급에 관한 세부규정 |  | 0.009434
e22008 | j05263 | tag | (간편)[10일한도형]첫날부터입원특약 | 제2편 개별사항 | 제2편 개별사항 | 0.009434
e22025 | j05280 | tag | (간편)[10일한도형]첫날부터입원특약 | 제5관 기타사항 | 제5관 기타사항 | 0.0093458
e22035 | j05282 | tag | (간편)[10일한도형]첫날부터입원특약 | 제1편 일반사항 | 제1편 일반사항 | 0.0092593
e22038 | j05283 | tag | (간편)[10일한도형]첫날부터입원특약 | 제2편 개별사항 | 제2편 개별사항 | 0.0091743
e22151 | j05300 | tag | (간편)[10일한도형]첫날부터입원특약 | 제5관 기타사항 | 제5관 기타사항 | 0.0090909
e22818 | j05470 | tag | (간편)첫날부터상급종합병원입원특약 | 제1편 일반사항 | 제1편 일반사항 | 0.009009
e22820 | j05471 | tag | (간편)첫날부터상급종합병원입원특약 | 제2편 개별사항 | 제2편 개별사항 | 0.0089286
e22838 | j05489 | tag | (간편)첫날부터상급종합병원입원특약 | 제5관 기타사항 | 제5관 기타사항 | 0.0088496
e22849 | j05491 | tag | (간편)첫날부터상급종합병원입원특약 | 제1편 일반사항 | 제1편 일반사항 | 0.0087719
e22852 | j05492 | tag | (간편)첫날부터상급종합병원입원특약 | 제2편 개별사항 | 제2편 개별사항 | 0.0086957
e22987 | j05511 | tag | (간편)첫날부터상급종합병원입원특약 | 제5관 기타사항 | 제5관 기타사항 | 0.0086207
e21700 | j05187 | tag | (간편)[180일한도형]첫날부터입원특약 | 제2관 보험금의 지급 | 제2관 보험금의 지급 | 0.008547
e21734 | j05207 | tag | (간편)[180일한도형]첫날부터입원특약 | 제2관 보험금의 지급 | 제2관 보험금의 지급 | 0.0084746
e21694 | j05182 | tag | (간편)[180일한도형]첫날부터입원특약 | 제1편 일반사항 | 제1편 일반사항 | 0.0084034
e21696 | j05183 | tag | (간편)[180일한도형]첫날부터입원특약 | 제2편 개별사항 | 제2편 개별사항 | 0.0083333
e00183 | j00011 | tag | 주계약((간편)신한통합건강보장보험 원(ONE) |  | | | | | |---|---|---| | (간편)[21대다빈도생활질병]신수술특약(무배당, 해약환급금 미지급형) | 21대다빈도생활질병급여수술  | 0.0082645
