e11992 | (간편)[삭감없음용]뇌혈관질환진단특약 |  | 제2-12조 주계약 약관 규정의 준용 | | 구분 | 지급사유 | 지급금액 | |------|----------|----------| | 뇌혈관질환 진단급여금 | 특약
e11848 | (간편)[기본]뇌혈관질환진단특약 |  | 제2-12조 주계약 약관 규정의 준용 | | 구분 | 지급사유 | 지급금액 | | --- | --- | --- | | 뇌혈관질환진단급여금 | 특약보험기간 중 피보험자가
e25118 | (간편)중증질환자[뇌혈관질환]산정특례대상보장특약 |  | 제2-3조 보험금 지급에 관한 세부규정 | ⑥ "중증질환자[뇌혈관질환]산정특례보장급여금"은 "중증질환자[뇌혈관질환]산정특례대상"에 해당하는 수술 또는 진료를 여러 번 시
e12307 | (간편)[삭감없음용]뇌혈관질환진단특약 |  | 제2-12조 주계약 약관 규정의 준용 | | 구분 | 지급사유 | 지급금액 | |------|---------|----------| | 뇌혈관질환 진단급여금 | 특약보
e12149 | (간편)[기본]뇌혈관질환진단특약 |  | 제2-12조 주계약 약관 규정의 준용 | | 구분 | 지급사유 | 지급금액 | |------|----------|----------| | 뇌혈관질환진단급여금 | 특약보
e00191 | 주계약((간편)신한통합건강보장보험 원(ONE) |  |  | | (간편)급성심근경색증진단특약<br>(무배당, 해약환급금 미지급형) | 급성심근경색증진단급여금 | 최초 1회에 한해 보장 |
e12072 | (간편)[기본]뇌혈관질환진단특약 |  | 제2-3조 보험금 지급에 관한 세부규정 | ④ 특약보험기간 중 피보험자가 보장개시일 이후에 사망하고 그 후에 "뇌혈관질환"을 직접적인 원인으로 사망한 사실이 확인된 경우
e25218 | (간편)중증질환자[뇌혈관질환]산정특례대상보장특약 |  | 제2-12조 주계약 약관 규정의 준용 | 중 피보험자가 사망한 경우에는 산출방법서에서 정하는 바에 따라 회사가 적립한 사망당시의 계약자적립액을 계약자에게 지급합니다. 
e11763 | (간편)[기본]뇌혈관질환진단특약 |  | 제2-3조 보험금 지급에 관한 세부규정 | ③ 특약보험기간 중 피보험자가 보장개시일 이후에 사망하고 그 후에 "뇌혈관질환"을 직접적인 원인으로 사망한 사실이 확인된 경우
e11907 | (간편)[삭감없음용]뇌혈관질환진단특약 |  | 제2-3조 보험금 지급에 관한 세부규정 | ② 특약보험기간 중 피보험자가 보장개시일 이후에 사망하고 그 후에 "뇌혈관질환"을 직접적인 원인으로 사망한 사실이 확인된 경우
e12058 | (간편)[기본]뇌혈관질환진단특약 |  | 제2-1조의3 "뇌혈관질환"의 정의 및 진단확정 | ② "뇌혈관질환"의 진단확정은 의료기관의 의사(치과의사 제외)에 의하여 내려져야 하며, 이 진단은 병력·신경학적 검진과 함께 
e12214 | (간편)[삭감없음용]뇌혈관질환진단특약 |  | 제2-1조의3 "뇌혈관질환"의 정의 및 진단확정 | ① 이 특약에 있어서 "뇌혈관질환"이라 함은 제8차 개정 한국표준질병·사인분류 중 <부표2-2> "뇌혈관질환 분류표"에 해당하
e15224 | (간편)뇌혈관·허혈심장질환상급종합병원통원특약 |  | 제2-2조 보험금의 지급사유 | 1. 특약보험기간 중 피보험자가 "뇌혈관질환"으로 진단 확정되고, 특약보험기간 중 그 "뇌혈관질환"의 직접적인 치료를 목적으로
e11710 | (간편)뇌전증진단특약 |  | 제2-12조 주계약 약관 규정의 준용 | (간편)[기본]뇌혈관질환진단특약 (무배당, 해약환급금 미지급형)
e00068 | 주계약((간편)신한통합건강보장보험 원(ONE) |  |  | | | | | --- | --- | | (간편)급여암특정통증완화치료특약(무배당, 갱신형) | 1,009 | | (간편)급여6대
e11750 | (간편)[기본]뇌혈관질환진단특약 |  | 제2-1조의2 "뇌혈관질환"의 정의 및 진단확정 | ① 이 특약에 있어서 "뇌혈관질환"이라 함은 제8차 개정 한국표준질병·사인분류 중 <부표2-2> "뇌혈관질환 분류표"에 해당하
e14518 | (간편)뇌혈관·허혈심장질환상급종합병원입원특약 |  | 제2-1조의2 "뇌혈관질환"의 정의 및 진단확정 | ② "뇌혈관질환"의 진단확정은 의료기관의 의사(치과의사 제외)에 의하여 내려져야 하며, 이 진단은 병력·신경학적 검진과 함께 
e28975 | (간편)[뇌혈관질환납입면제형]보험료납입면제특약 |  | 제2-1조의3 "뇌혈관질환"의 정의 및 진단확정 | ① 이 특약에 있어서 "뇌혈관질환"이라 함은 제8차 개정 한국표준질병·사인분류 중 <부표2-2> "뇌혈관질환 분류표"에 해당하
e14344 | (간편)뇌혈관·허혈심장질환입원특약 |  | 제2-1조의2 "뇌혈관질환"의 정의 및 진단확정 | ② "뇌혈관질환"의 진단확정은 의료기관의 의사(치과의사 제외)에 의하여 내려져야 하며, 이 진단은 병력·신경학적 검진과 함께 
e11896 | (간편)[삭감없음용]뇌혈관질환진단특약 |  | 제2-1조의2 "뇌혈관질환"의 정의 및 진단확정 | ② "뇌혈관질환"의 진단확정은 의료기관의 의사(치과의사 제외)에 의하여 내려져야 하며, 이 진단은 병력·신경학적 검진과 함께 
e00179 | 주계약((간편)신한통합건강보장보험 원(ONE) |  |  | | | | | |---|---|---| | (간편)부정맥진단특약<br>(무배당, 갱신형) | 부정맥진단급여금 | 가입 후 1년
e14829 | (간편)뇌혈관질환수술특약 |  | 제2-12조 주계약 약관 규정의 준용 | | 구분 | 지급사유 | | 지급금액 | |------|---------|---|---------| | 뇌혈관질환 수술급여금 
e14741 | (간편)뇌혈관질환수술특약 |  | 제2-2조 보험금의 지급사유 | 회사는 특약보험기간 중 피보험자가 "뇌혈관질환"으로 진단확정되고, 특약보험기간 중 그 "뇌혈관질환"의 직접적인 치료를 목적으로
e15031 | (간편)뇌혈관·허혈심장질환통원특약 |  | 제2-1조의2 "뇌혈관질환"의 정의 및 진단확정 | ② "뇌혈관질환"의 진단확정은 의료기관의 의사(치과의사 제외)에 의하여 내려져야 하며, 이 진단은 병력·신경학적 검진과 함께 
e15199 | (간편)뇌혈관·허혈심장질환상급종합병원통원특약 |  | 제2-1조의2 "뇌혈관질환"의 정의 및 진단확정 | ② "뇌혈관질환"의 진단확정은 의료기관의 의사(치과의사 제외)에 의하여 내려져야 하며, 이 진단은 병력·신경학적 검진과 함께 
e14676 | (간편)뇌혈관·허혈심장질환상급종합병원입원특약 |  | 제2-12조 주계약 약관 규정의 준용 | |----------------------------------------|----------------------------
e15539 | (간편)뇌혈관·허혈심장질환주요치료비특약 |  | 제2-12조 주계약 약관 규정의 준용 | | 구분 | 지급사유 | 지급금액 | |------|---------|----------| | "뇌혈관질환 또는 허혈심장질환"
e14467 | (간편)뇌혈관·허혈심장질환입원특약 |  | 제2-12조 주계약 약관 규정의 준용 | | 구분 | 지급사유 | 지급금액 | |------|------------|----------| | 뇌혈관질환<br>입원급여금
e15054 | (간편)뇌혈관·허혈심장질환통원특약 |  | 제2-2조 보험금의 지급사유 | 1. 특약보험기간 중 피보험자가 "뇌혈관질환"으로 진단 확정되고, 특약보험기간 중 그 "뇌혈관질환"의 직접적인 치료를 목적으로
e23872 | (간편)3대질병간병인사용입원특약 |  | 제2-1조의8 "뇌혈관질환"의 정의 및 진단확정 | ① 이 특약에 있어서 "뇌혈관질환"이라 함은 제8차 개정 한국표준질병·사인분류 중 <부표2-5> "뇌혈관질환 분류표"에 해당하
c02230 | (간편)뇌졸중진단특약 |  | 제2-12조 주계약 약관 규정의 준용 | 
e27840 | (간편)[뇌혈관질환납입면제형]보험료납입면제특약 |  | 제2-1조의3 "뇌혈관질환"의 정의 및 진단확정 | ① 이 특약에 있어서 "뇌혈관질환"이라 함은 제8차 개정 한국표준질병·사인분류 중 <부표2-2> "뇌혈관질환 분류표"에 해당하
e15143 | (간편)뇌혈관·허혈심장질환통원특약 |  | 제2-12조 주계약 약관 규정의 준용 | | 구분 | 지급사유 | 지급금액 | |------|---------|----------| | 뇌혈관 질환 통원급여금 | 간편
e00192 | 주계약((간편)신한통합건강보장보험 원(ONE) |  | # 보장한도 |  | 당뇨병(당화혈색소 8.5%이상)진단특약(무배당, 갱신형) | 당뇨병(당화혈색소 8.5%이상)진단급여금 | 최초 1회에 한
e12227 | (간편)[삭감없음용]뇌혈관질환진단특약 |  | 제2-3조 보험금 지급에 관한 세부규정 | ③ 특약보험기간 중 피보험자가 보장개시일 이후에 사망하고 그 후에 "뇌혈관질환"을 직접적인 원인으로 사망한 사실이 확인된 경우
e00242 | 주계약((간편)신한통합건강보장보험 원(ONE) |  | ## 재해・상해 | | | | |--|--| | (간편)[3~100%장해형] 질병장해특약(무배당, 갱신형) | (간편)급여주요뇌심장질환 특정재활치
e09976 | (간편)급여6대질병진단검사지원특약 |  | 제2-1조의6 “6대질병”의 정의 및 진단확정 | ⑥ "뇌혈관질환"의 진단확정은 의료기관의 의사(치과의사 제외)에 의하여 내려져야 하며, 이 진단은 병력·신경학적 검진과 함께 
e12067 | (간편)[기본]뇌혈관질환진단특약 |  | 제2-2조 보험금의 지급사유 | 회사는 특약보험기간 중 피보험자가 "뇌혈관질환"으로 진단확정 되었을 경우에는 보험수익자에게 약정한 뇌혈관질환진단급여금(<부표2
e11759 | (간편)[기본]뇌혈관질환진단특약 |  | 제2-2조 보험금의 지급사유 | 회사는 특약보험기간 중 피보험자가 "뇌혈관질환"으로 진단확정 되었을 경우에는 보험수익자에게 약정한 뇌혈관질환진단급여금(<부표2
e12223 | (간편)[삭감없음용]뇌혈관질환진단특약 |  | 제2-2조 보험금의 지급사유 | 회사는 특약보험기간 중 피보험자가 "뇌혈관질환"으로 진단확정 되었을 경우에는 보험수익자에게 약정한 뇌혈관질환진단급여금(<부표2
