query: 신한(간편가입) 통합건강보험 원(ONE)의 장점이 뭔가요
total_candidates: 72 page: 1 page_size: 40
e00111 | 주계약((간편)신한통합건강보장보험 원(ONE) |  | # 熊 | (간편)신한통합건강보장보험 원(ONE) | score= 0.0981161
e00331 | 주계약((간편)신한통합건강보장보험 원(ONE) |  | ## 계약자적립액 | (간편)신한통합건강보장보험 원(ONE) | score= 0.0693479
e00000 |  |  |  | <!-- 원본: downloads_disc/(간편)신한통합건강보장보험 원(ONE)(무배당, 해약환급금 미지급 | score= 0.0579295
e00562 | 주계약((간편)신한통합건강보장보험 원(ONE) |  | 제20조 계약내용의 변경 등 | 2. 보험가입금액 | score= 0.0509464
e00235 | 주계약((간편)신한통합건강보장보험 원(ONE) |  | ## 재해・상해 | (해약환급금 미지급형 가입시) | score= 0.0497702
e00071 | 주계약((간편)신한통합건강보장보험 원(ONE) |  |  | $$ 12 $$ | score= 0.0486456
e00074 | 주계약((간편)신한통합건강보장보험 원(ONE) |  |  | $$ \left\{\begin{array}{l}2 x+1=3 y+1\\ 3 x+2 y=4\end{array} | score= 0.0448399
e00168 | 주계약((간편)신한통합건강보장보험 원(ONE) |  | ## 熊熊 | ## 熊熊 | score= 0.0399061
e00204 | 주계약((간편)신한통합건강보장보험 원(ONE) |  | # 보장한도 연간 1회한 | (무배당) | score= 0.0388338
e00058 |  |  |  | 관 가이드북 | 21 | | 약관 요약서 | 25 | | 주요보험용어 해설 | 57 | | 가입부터 지급까지 | score= 0.0361768
e00314 | 주계약((간편)신한통합건강보장보험 원(ONE) |  | # 청약서 | < 예시 > | score= 0.0357433
c00208 | 주계약((간편)신한통합건강보장보험 원(ONE) |  | 제43조 예금보험에 의한 지급보장 |  | score= 0.0317808
e00524 | 주계약((간편)신한통합건강보장보험 원(ONE) |  | 제17조 청약의 철회 | [사례1] | score= 0.0299525
e00173 | 주계약((간편)신한통합건강보장보험 원(ONE) |  | # 감액지급 | 50% | score= 0.0296703
e00508 | 주계약((간편)신한통합건강보장보험 원(ONE) |  | 제16조 보험계약의 성립 | $ \underline{ \text{The first column of the table is:}} $ 보험 | score= 0.0290256
e00185 | 주계약((간편)신한통합건강보장보험 원(ONE) |  |  | \text { (a) } 1.5 \text { and } 2.5 \\ \text { (b) } 1.5 \te | score= 0.0275875
e00182 | 주계약((간편)신한통합건강보장보험 원(ONE) |  |  | $\begin{array}{l} \text{The } 1 \text{st term of the geometr | score= 0.0266667
e00110 | 주계약((간편)신한통합건강보장보험 원(ONE) |  |  | (1)이하의 회사에선, 이 회사는 2018년 1월 1일부터 2018년 12월 31일까지 회사에 의해 설정된  | score= 0.0254844
e00195 | 주계약((간편)신한통합건강보장보험 원(ONE) |  | # 보장한도 | <table border="1" cellspacing="0"> | score= 0.0236999
e00081 | 주계약((간편)신한통합건강보장보험 원(ONE) |  |  | $$ 1 7 $$ | score= 0.0236895
e00163 | 주계약((간편)신한통합건강보장보험 원(ONE) |  |  | | 상품명 | 담보명 | 면책기간 | |------|------|----------| | (간편)[50%이상 | score= 0.0230935
e00180 | 주계약((간편)신한통합건강보장보험 원(ONE) |  |  | $\square$ | score= 0.0230555
e00190 | 주계약((간편)신한통합건강보장보험 원(ONE) |  |  | | | | | |---|---|---| | (간편)일반암생활비보장특약<br>(무배당, 갱신형) | 암생활비보 | score= 0.0190296
e00442 | 주계약((간편)신한통합건강보장보험 원(ONE) |  | 제8조 보험금 등의 지급절차 | 1. 소송제기 | score= 0.0175238
c00157 | 주계약((간편)신한통합건강보장보험 원(ONE) |  | 제13조 계약 전 알릴 의무 |  | score= 0.0144928
e00746 | 주계약((간편)신한통합건강보장보험 원(ONE) |  | 제1편 일반사항 | 제1편 일반사항 | score= 0.0128205
e19102 | (간편)[9대관절척추질병]신수술특약 |  | 제2-1조의6 "9대관절척추질병"의 정의 및 진단확정 | 진단확정은 의료법 제3조(의료기관)에서 규정한 국내의 병원이나 의원 또는 국외의 의료관련법에서 정한 의료기관 | score= 0.0126582
e00768 | 주계약((간편)신한통합건강보장보험 원(ONE) |  | 제1편 일반사항 | 제1편 일반사항 | score= 0.0125
e00403 | 주계약((간편)신한통합건강보장보험 원(ONE) |  | 제2관 보험금의 지급 | 제2관 보험금의 지급 | score= 0.0123457
e00592 | 주계약((간편)신한통합건강보장보험 원(ONE) |  | 제5관 보험료의 납입 | 제5관 보험료의 납입 | score= 0.0121951
c00201 | 주계약((간편)신한통합건강보장보험 원(ONE) |  | 제41조 개인정보보호 |  | score= 0.0120482
e00761 | 주계약((간편)신한통합건강보장보험 원(ONE) |  | 제5관 보험료의 납입 | 제5관 보험료의 납입 | score= 0.0120482
e00852 | 주계약((간편)신한통합건강보장보험 원(ONE) |  | 제5관 보험료의 납입 | 제5관 보험료의 납입 | score= 0.0119048
e00679 | 주계약((간편)신한통합건강보장보험 원(ONE) |  | 제7관 분쟁의 조정 등 | 제7관 분쟁의 조정 등 | score= 0.0117647
e00758 | 주계약((간편)신한통합건강보장보험 원(ONE) |  | 제4관 특약의 성립과 유지 | 제4관 특약의 성립과 유지 | score= 0.0116279
e00838 | 주계약((간편)신한통합건강보장보험 원(ONE) |  | 제4관 특약의 성립과 유지 | 제4관 특약의 성립과 유지 | score= 0.0114943
e00504 | 주계약((간편)신한통합건강보장보험 원(ONE) |  | 제4관 보험계약의 성립과 유지 | 제4관 보험계약의 성립과 유지 | score= 0.0113636
e00363 | 주계약((간편)신한통합건강보장보험 원(ONE) |  | 제1관 목적 및 용어의 정의 | 제1관 목적 및 용어의 정의 | score= 0.011236
e00480 | 주계약((간편)신한통합건강보장보험 원(ONE) |  | 제3관 계약자의 계약 전 알릴 의무 등 | 제3관 계약자의 계약 전 알릴 의무 등 | score= 0.0111111
e00747 | 주계약((간편)신한통합건강보장보험 원(ONE) |  | 제1관 목적 및 용어의 정의 | 제1관 목적 및 용어의 정의 | score= 0.010989
