=== PAGE 1 total 80 ===
e00133 | 주계약((간편)신한통합건강보장보험 원(ONE) | # 熊 | ※ 약관 요약서는 주계약과 부가 가능한 모든 특약을 기준으로 작성되었고, 실제 보장은 가입하신 특약에 한해 이뤄집니다.
e00880 | 주계약((간편)신한통합건강보장보험 원(ONE) | 제1-12조 보험료의 납입이 연체되는 경우 납입최고(독 | 2. 주계약이 소멸된 경우(다만, 주계약이 보험금 지급으로 인하여 소멸하거나, 주계약과 특약의 피보험자가 다른 경우에 한함)
e30193 | (간편)[소액암진단형]보험료납입보조특약 | 제7조 특약의 성립 | ① 이 특약은 주계약을 체결할 때 계약자의 청약과 회사의 승낙으로 주계약에 부가하여 이루어 집니다.
e30130 | (간편)[소액암진단형]보험료납입보조특약 | 제9조 특약의 소멸 | ① 회사는 이 특약의 부활(효력회복)청약을 받은 경우에는 주계약의 부활(효력회복)을 승낙한 경우에 한하여 주계약 약관의 부활(
e30223 | (간편)[소액암진단형]보험료납입보조특약 | 제10조 보험료의 납입 및 특약의 보장개시 | ① 회사는 이 특약의 부활(효력회복)청약을 받은 경우에는 주계약의 부활(효력회복)을 승낙한 경우에 한하여 주계약 약관의 부활(
e00537 | 주계약((간편)신한통합건강보장보험 원(ONE) | 제18조 약관교부 및 설명의무 등 | 제18조 약관교부 및 설명의무 등
e00775 | 주계약((간편)신한통합건강보장보험 원(ONE) | 제1-2조 용어의 정의 | 특약에서 사용되는 용어의 정의는, 특약의 다른 조항에서 달리 정의되지 않는 한 다음과 같습니다. 다만, 특약에서 정의되지 않은
e00854 | 주계약((간편)신한통합건강보장보험 원(ONE) | 제1-11조 특약의 보험료 납입기간 및 보험료의 납입 | ① 특약의 보험료 납입기간은 특약을 부가할 때 회사가 제시한 보험료 납입기간 범위 내에서 계약자가 선택한 기간으로 합니다.
e00840 | 주계약((간편)신한통합건강보장보험 원(ONE) | 제1-9조 특약의 성립 | ① 특약은 주계약을 체결할 때 계약자의 청약과 회사의 승낙으로 주계약에 부가하여 이루어집니다.
c05208 | (간편)[소액암진단형]보험료납입보조특약 | 제17조 주계약이 2인(3인, 3人)보장보험계약인 경우 | 
e00249 | 주계약((간편)신한통합건강보장보험 원(ONE) | ## 재해・상해 | ③ 가입한 특약의 경우 주계약과 보험기간이 다를 수 있습니다. (특약별 보험기간을 꼼꼼히 확인하시기 바랍니다.)
c03483 | (간편)[질병별]신수술특약 | 제2-9조 특약의 소멸 | 
e01080 | (간편)정기특약 | 제2-1조 특약의 보장개시 | ① 회사는 이 특약의 청약을 승낙하고 제1회 보험료를 받은 때부터 이 특 약의 약관이 정한 바에 따라 보장을 합니다. 또한, 
c03314 | (간편)[난이도별]신수술특약 | 제2-9조 특약의 소멸 | 
e05215 | (간편)[기본]소액암진단특약 | 제2-1조 특약의 보장개시 | ① 회사는 이 특약의 청약을 승낙하고 제1회 보험료를 받은 때부터 이 특약의 약관이 정한 바에 따라 보장을 합니다. 또한, 회
c03957 | (간편)첫날부터중환자실입원특약 | 제2-9조 특약의 소멸 | 
e06066 | (간편)일반암생활비보장특약 | 제2-1조 특약의 보장개시 | ① 회사는 이 특약의 청약을 승낙하고 제1회 보험료를 받은 때부터 이 특약의 약관이 정한 바에 따라 보장을 합니다. 또한, 회
c04448 | (간편)중증외상산정특례대상보장특약 | 제2-9조 특약의 소멸 | 
c00245 | (간편)정기특약 | 제2-9조 특약의 소멸 | 
e13729 | (간편)부정맥진단특약 | 제2-1조 특약의 보장개시 | ① 회사는 이 특약의 청약을 승낙하고 제1회 보험료를 받은 때부터 이 특약의 약관이 정한 바에 따라 보장을 합니다. 또한, 회
e01324 | (간편)재해사망특약 | 제2-12조 주계약 약관 규정의 준용 | 주) 1. 「이 특약의 피보험자가 특약보험기간 중 사망하였을 경우」 또는 「주계약이 해지, 무효, 취소 또는 철회된 경우」 이
e06548 | (간편)암다빈치로봇수술특약 | 제2-1조 특약의 보장개시 | ① 회사는 이 특약의 청약을 승낙하고 제1회 보험료를 받은 때부터 이 특약의 약관이 정한 바에 따라 보장을 합니다. 또한, 회
c04358 | (간편)중증질환자[심장질환]산정특례대상보장특약 | 제2-9조 특약의 소멸 | 
e04787 | (간편)[기본]일반암진단특약 | 제2-1조 특약의 보장개시 | ① 회사는 이 특약의 청약을 승낙하고 제1회 보험료를 받은 때부터 이 특 약의 약관이 정한 바에 따라 보장을 합니다. 또한, 
c04479 | (간편)중증질환자[암]산정특례대상보장특약 | 제2-9조 특약의 소멸 | 
c04116 | (간편)3대질병간병인사용입원특약 | 제2-9조 특약의 소멸 | 
