total 80 page 1
e02438 | (간편)[50%이상장해형]질병장해특약 | 제2-12조 주계약 약관 규정의 준용 | (간편)[50%이상장해형]6대질병장해특약 (무배당, 해약환급금 미지급형)
e02561 | (간편)[50%이상장해형]6대질병장해특약 | 제2-2조 보험금의 지급사유 | 회사는 특약보험기간 중 피보험자가 보장개시일("암"의 경우 암보장개시일) 이후에 "6대질병"으로 진단확정 되고, 특약보험기간 중 그 "6대질병"을 직접적인 원인으로 장해분류표(<부
c05243 | (간편)[소액암진단형]보험료납입보조특약 | 제3조 면책(보장제한) 조건의 내용 | 
e02670 | (간편)[50%이상장해형]6대질병장해특약 | 제2-12조 주계약 약관 규정의 준용 | | 구분 | 지급사유 | 지급금액 | |------|------------|----------| | (50%이상)<br>6대질병<br>장해급여금 | 간편<br>심사형 | 피보험자에
e02178 | (간편)[3~100%장해형]질병장해특약 | 제2-3조 보험금 지급에 관한 세부규정 | ① 특약보험료 납입기간 중 주계약의 보험료 납입이 면제된 경우 이 특약의 차회 이후 보험료 납입을 면제합니다. 다만, 주계약의 보험료 납입면제가 "보험료의 납입을 면제하는 특약"에
c05792 | (간편)[소액암진단형]보험료납입보조특약 |  | 
e02564 | (간편)[50%이상장해형]6대질병장해특약 | 제2-3조 보험금 지급에 관한 세부규정 | ① 특약보험료 납입기간 중 주계약의 보험료 납입이 면제된 경우 이 특약의 차회 이후 보험료 납입을 면제합니다. 다만, 주계약의 보험료 납입 면제가 "보험료의 납입을 면제하는 특약"
e28370 | (간편)[50%장해납입면제형]보험료납입면제특약 | 제2-3조의2 보험료 납입면제에 관한 세부규정 | ① 제2-2조의2(보험료 납입면제사유)에 따라 보험료 납입이 면제된 이후에는 차회 이후 보험료납입면제대상계약의 보험료가 정상적으로 납입된 것으로 봅니다.
e27255 | (간편)[50%장해납입면제형]보험료납입면제특약 | 제1-2조(용어의 정의) 외에 이 특약에서 사용되는 용어의 정의는, 특약의 | 1. 장해 : <부표2-2> "장해분류표"에서 정한 기준에 따른 장해상태를 말합니다.
e02343 | (간편)[50%이상장해형]질병장해특약 | 제2-3조 보험금 지급에 관한 세부규정 | ① 특약보험료 납입기간 중 주계약의 보험료 납입이 면제된 경우 이 특약의 차회 이후 보험료 납입을 면제합니다. 다만, 주계약의 보험료 납입면제가 "보험료의 납입을 면제하는 특약"에
c04502 | (간편)중증질환자[암]산정특례대상보장특약 | 제2-3조 보험금 지급에 관한 세부규정 | 
e01827 | (간편)[3~100%장해형]질병장해특약 | 제2-12조 주계약 약관 규정의 준용 | (간편)[3~100%장해형]질병장해특약 (무배당, 해약환급금 미지급형)
e01802 | (간편)재해장해생활비특약 | 제2-12조 주계약 약관 규정의 준용 | (간편)[3~100%장해형]질병장해특약 (무배당, 해약환급금 미지급형)
e02013 | (간편)[50%이상장해형]질병장해특약 | 제2-3조 보험금 지급에 관한 세부규정 | ① 특약보험료 납입기간 중 주계약의 보험료 납입이 면제된 경우 이 특약의 차회 이후 보험료 납입을 면제합니다. 다만, 주계약의 보험료 납입면제가 "보험료의 납입을 면제하는 특약"에
e02283 | (간편)[3~100%장해형]질병장해특약 | 제2-12조 주계약 약관 규정의 준용 | (간편)[50%이상장해형]질병장해특약 (무배당, 갱신형)
e28348 | (간편)[50%장해납입면제형]보험료납입면제특약 | 제2-1조의3 개별 용어의 정의 | 1. 장해 : <부표2-2> "장해분류표"에서 정한 기준에 따른 장해상태를 말합니다.
e01492 | (간편)[3~100%장해형]재해장해특약 | 제2-12조 주계약 약관 규정의 준용 | (간편)[50%이상장해형]재해장해특약 (무배당, 해약환급금 미지급형)
e01326 | (간편)재해사망특약 | 제2-12조 주계약 약관 규정의 준용 | (간편)[3~100%장해형]재해장해특약 (무배당, 해약환급금 미지급형)
e29150 | (간편)[허혈심장질환납입면제형]보험료납입면제특약 | 제2-3조의2 보험료 납입면제에 관한 세부규정 | ① 제2-2조의2(보험료 납입면제사유)에 따라 보험료 납입이 면제된 이후에는 차회 이후 보험료납입면제대상계약의 보험료가 정상적으로 납입된 것으로 봅니다.
c04893 | (간편)보험료납입면제특약 | 제2-1조의2 특약의 보험기간 및 갱신 | 
c05683 | (간편)[소액암진단형]보험료납입보조특약 | ## 습관성 유산, 불임 및 인공수정관련 합병증 | 
e27271 | (간편)[50%장해납입면제형]보험료납입면제특약 | 제2-3조의2 보험료 납입면제에 관한 세부규정 | ① 제2-2조의2(보험료 납입면제사유)에 따라 보험료 납입이 면제된 이후에는 차회 이후 보험료납입면제대상계약의 보험료가 정상적으로 납입된 것으로 봅니다.
c03751 | (간편)상급종합병원질병수술특약 | 제2-3조 보험금 지급에 관한 세부규정 | 
e28366 | (간편)[50%장해납입면제형]보험료납입면제특약 | 제2-2조의2 보험료 납입면제사유 | 회사는 특약보험기간 중 피보험자가 「장해분류표(<부표2-2> 참조) 중 동일한 재해 또는 재해 이외의 동일한 원인으로 여러 신체부위의 장해지급률을 더하여 50% 이상인 장해상태」가
e28315 | (간편)[50%장해납입면제형]보험료납입면제특약 | 제2-12조 주계약 약관 규정의 준용 | [50%장해납입면제형]
c03764 | (간편)상급종합병원질병수술특약 | 제2-12조 주계약 약관 규정의 준용 | 
c03693 | (간편)질병수술(백내장및대장용종제외)특약 | 제2-12조 주계약 약관 규정의 준용 | 
e01849 | (간편)[3~100%장해형]질병장해특약 | 제2-3조 보험금 지급에 관한 세부규정 | ① 특약보험료 납입기간 중 주계약의 보험료 납입이 면제된 경우 이 특약의 차회 이후 보험료 납입을 면제합니다. 다만, 주계약의 보험료 납입면제가 "보험료의 납입을 면제하는 특약"에
e02469 | (간편)[50%이상장해형]6대질병장해특약 | 제2-12조 주계약 약관 규정의 준용 | (간편)[50%이상장해형]6대질병장해특약 (무배당, 해약환급금 미지급형)
c03737 | (간편)질병수술(8대특정수술제외)특약 | 제2-12조 주계약 약관 규정의 준용 | 
e01372 | (간편)[3~100%장해형]재해장해특약 | 제2-3조 보험금 지급에 관한 세부규정 | ① 특약보험료 납입기간 중 주계약의 보험료 납입이 면제된 경우 이 특약의 차회 이후 보험료 납입을 면제합니다. 다만, 주계약의 보험료 납입면제가 "보험료의 납입을 면제하는 특약"에
e01538 | (간편)[50%이상장해형]재해장해특약 | 제2-3조 보험금 지급에 관한 세부규정 | ① 특약보험료 납입기간 중 주계약의 보험료 납입이 면제된 경우 이 특약의 차회 이후 보험료 납입을 면제합니다. 다만, 주계약의 보험료 납입면제가 "보험료의 납입을 면제하는 특약"에
e00189 | 주계약((간편)신한통합건강보장보험 원(ONE) |  | | 상품명 | 담보명 | 보험금 지급한도 | | --- | --- | --- | | (간편)[50%이상장해형] 재해장해특약 (무배당, 해약환급금 미지급형) | (50%이상)재해장해
c04099 | (간편)3대질병간병인사용입원특약 | 제2-3조 보험금 지급에 관한 세부규정 | 
e00064 | 주계약((간편)신한통합건강보장보험 원(ONE) |  | 121 (간편)정기특약(무배당, 갱신형) | 135 (간편)재해사망특약(무배당, 해약환급금 미지급형) | 151 (간편)[3~100%장해형]재해장해특약(무배당, 해약환급금 미지급형
c05417 | (간편)[소액암진단형]보험료납입보조특약 |  | 
c02950 | (간편)급여뇌심장질환특정검사지원특약 | 제2-3조 보험금 지급에 관한 세부규정 | 
e27267 | (간편)[50%장해납입면제형]보험료납입면제특약 | 제2-2조의2 보험료 납입면제사유 | 회사는 특약보험기간 중 피보험자가 「장해분류표(<부표2-2> 참조) 중 동일한 재해 또는 재해 이외의 동일한 원인으로 여러 신체부위의 장해지급률을 더하여 50% 이상인 장해상태」가
e10002 | (간편)급여6대질병진단검사지원특약 | 제2-3조 보험금 지급에 관한 세부규정 | ① 특약보험료 납입기간 중 주계약의 보험료 납입이 면제된 경우 이 특약의 차회 이후 보험료 납입을 면제합니다. 다만, 주계약의 보험료 납입 면제가 "보험료의 납입을 면제하는 특약"
c03912 | (간편)[30일한도형]첫날부터입원특약 | 제2-12조 주계약 약관 규정의 준용 | 
