=== PAGE 1 (total=80) ===
e00294 | 주계약((간편)신한통합건강보장보험 원(ONE) | # 청약서 | score=0.0661
e00865 | 주계약((간편)신한통합건강보장보험 원(ONE) | 제1-12조 보험료의 납입이 연체되는 경우 납입최고(독촉)와 특약의 해지 | score=0.066
e00619 | 주계약((간편)신한통합건강보장보험 원(ONE) | 제26조 보험료의 납입이 연체되는 경우 납입최고(독촉)와 계약의 해지 | score=0.0589
e30221 | (간편)[소액암진단형]보험료납입보조특약 | 제10조 보험료의 납입 및 특약의 보장개시 | score=0.0297
e09316 | (간편)항암호르몬약물허가치료특약 | 제2-9조 특약의 소멸 | score=0.0269
c00185 | 주계약((간편)신한통합건강보장보험 원(ONE) | 제25조 보험료의 자동대출납입 | score=0.026
e30641 | (간편)[소액암진단형]보험료납입보조특약 | 제6조 보험료의 납입 및 특약의 보장개시 | score=0.0232
e00596 | 주계약((간편)신한통합건강보장보험 원(ONE) | 제23조 제1회 보험료 및 회사의 보장개시 | score=0.0231
e02252 | (간편)[3~100%장해형]질병장해특약 | 제2-9조 특약의 소멸 | score=0.0229
c00009 |  |  | score=0.0229
e00550 | 주계약((간편)신한통합건강보장보험 원(ONE) | 제19조 계약의 무효 | score=0.022
e00675 | 주계약((간편)신한통합건강보장보험 원(ONE) | 제33조 보험계약대출 | score=0.0215
e30507 | (간편)[소액암진단형]보험료납입보조특약 | 제3조 표준하체인수의 종류 및 세부내용 | score=0.0191
e30596 | (간편)[소액암진단형]보험료납입보조특약 | 제3조 면책(보장제한) 조건의 내용 | score=0.0184
c04729 | (간편)[50%장해납입면제형]보험료납입면제특약 | 제2-8조 특약내용의 변경 등 | score=0.0183
e29023 | (간편)[뇌혈관질환납입면제형]보험료납입면제특약 | 제2-9조 특약의 소멸 | score=0.0168
e19464 | (간편)[기본]신수술특약 | 제2-1조의2 특약의 보험기간 및 갱신 | score=0.0165
e00509 | 주계약((간편)신한통합건강보장보험 원(ONE) | 제16조 보험계약의 성립 | score=0.0158
c00158 | 주계약((간편)신한통합건강보장보험 원(ONE) | 제13조 계약 전 알릴 의무 | score=0.0156
c00216 | 주계약((간편)신한통합건강보장보험 원(ONE) | 제1-7조 계약 전 알릴 의무 | score=0.0154
c03541 | (간편)[9대관절척추질병]신수술특약 | 제2-1조의2 특약의 보험기간 및 갱신 | score=0.0152
e00837 | 주계약((간편)신한통합건강보장보험 원(ONE) | 제1-8조 계약 전 알릴 의무 위반의 효과 | score=0.0149
c00222 | 주계약((간편)신한통합건강보장보험 원(ONE) | 제1-9조 특약의 성립 | score=0.0148
e00428 | 주계약((간편)신한통합건강보장보험 원(ONE) | 제5조 보험금 등을 지급하지 않는 사유 | score=0.0147
e15511 | (간편)뇌혈관·허혈심장질환주요치료비특약 | 제2-9조 특약의 소멸 | score=0.0145
