===== e31960 | contract=(간편)[소액암진단형]보험료납입보조특약(무배당, 갱신형) | jo=j07562 | jo_title=None =====
| | 4. 달리 분류되지 않은 만성 간염 | K73 |
| | 5. 간의 섬유증 및 경변증 | K74 |
| | 6. 기타 염증성 간질환 | K75 |
| | 1. 기타 및 상세불명 부위의 행동양식 불명 또는 미상의 신생물 | D47.1, D47.3, D47.4, D47.5 |
| | 1. 기타 및 상세불명 부위의 행동양식 불명 또는 미상의 신생물 | D48 |
| | 1. 거미막하출혈 | I60 |
| | 2. 뇌내출혈 | I61 |
| | 3. 기타 비외상성 두개내출혈 | I62 |
| | 4. 뇌경색증 | I63 |
| | 5. 출혈 또는 경색증으로 명시되지 않은 뇌졸중 | I64 |
| | 6. 뇌경색증을 유발하지 않은 뇌전동맥의 폐쇄 및 협착 | I65 |
| | 7. 뇌경색증을 유발하지 않은 대뇌동맥의 폐쇄 및 협착 | I66 |
| | 8. 기타 뇌혈관질환 | I67 |
| | 9. 달리 분류된 질환에서의 뇌혈관장애 | I68 |
| | 10. 뇌혈관질환의 후유증 | I69 |
| | 1. 협심증 | I20 |
| | 2. 급성심근경색증 | I21 |
| | 3. 후속심근경색증 | I22 |
| | 4. 급성심근경색증 후 특정 현존 합병증 | I23 |
| | 5. 기타 급성 허혈심장질환 | I24 |
| | 6. 만성 허혈심장병 | I25 |
| | 1. 알코올성 간질환 | K70 |
| | 2. 독성간질환 | K71 |
| | 3. 달리 분류되지 않은 간부전 | K72 |
| | 4. 달리 분류되지 않은 만성 간염 | K73 |
| | 5. 간의 섬유증 및 경변증 | K74 |
| | 6. 기타 염증성 간질환 | K75 |
| | 1. 기타 및 상세불명 부위의 행동양식 불명 또는 미상의 신생물 | D47.1, D47.3, D47.4, D47.5 |
| | 1. 기타 및 상세불명 부위의 행동양식 불명 또는 미상의 신생물 | D48 |
| | 1. 거미막하출혈 | I60 |
| | 2. 뇌내출혈 | I61 |
| | 3. 기타 비외상성 두개내출혈 | I62 |
| | 4. 뇌경색증 | I63 |
| | 5. 출혈 또는 경색증으로 명시되지 않은 뇌졸중 | I64 |
| | 6. 뇌경색증을 유발하지 않은 뇌전동맥의 폐쇄 및 협착 | I65 |
| | 7. 뇌경색증을 유발하지 않은 대뇌동맥의 폐쇄 및 협착 | I66 |
| | 8. 기타 뇌혈관질환 | I67 |
| | 9. 달리 분류된 질환에서의 뇌혈관장애 | I68 |
| | 10. 뇌혈관질환의 후유증 | I69 |
| | 1. 협심증 | I20 |
| | 2. 급성심근경색증 | I21 |
| | 3. 후속심근경색증 | I22 |
| | 4. 급성심근경색증 후 특정 현존 합병증 | I23 |
| | 5. 기타 급성 허혈심장질환 | I24 |
| | 6. 만성 허혈심장병 | I25 |
| | 1. 알코올성 간질환 | K70 |
| | 2. 독성간질환 | K71 |
| | 3. 달리 분류되지 않은 간부전 | K72 |
| | 4. 달리 분류되지 않은 만성 간염 | K73 |
| | 5. 간의 섬유증 및 경변증 | K74 |
| | 6. 기타 염증성 간질환 | K75 |
| | 1. 기타 및 상세불명 부위의 행동양식 불명 또는 미상의 신생물 | D47.1, D47.3, D47.4, D47.5 |
| | 1. 기타 및 상세불명 부위의 행동양식 불명 또는 미상의 신생물 | D48 |
| | 1. 거미막하출혈 | I60 |
| | 2. 뇌내출혈 | I61 |
| | 3. 기타 비외상성 두개내출혈 | I62 |
| | 4. 뇌경색증 | I63 |
| | 5. 출혈 또는 경색증으로 명시되지 않은 뇌졸중 | I64 |
| | 6. 뇌경색증을 유발하지 않은 뇌전동맥의 폐쇄 및 협착 | I65 |
| | 7. 뇌경색증을 유발하지 않은 대뇌동맥의 폐쇄 및 협착 | I66 |
| | 8. 기타 뇌혈관질환 | I67 |
| | 9. 달리 분류된 질환에서의 뇌혈관장애 | I68 |
| | 10. 뇌혈관질환의 후유증 | I69 |
| | 1. 협심증 | I20 |
| | 2. 급성심근경색증 | I21 |
| | 3. 후속심근경색증 | I22 |
| | 4. 급성심근경색증 후 특정 현존 합병증 | I23 |
| | 5. 기타 급성 허혈심장질환 | I24 |
| | 6. 만성 허혈심장병 | I25 |
| | 1. 알코올성 간질환 | K70 |
| | 2. 독성간질환 | K71 |
| | 3. 달리 분류되지 않은 간부전 | K72 |
| | 4. 달리 분류되지 않은 만성 간염 | K73 |
| | 5. 간의 섬유증 및 경변증 | K74 |
| | 6. 기타 염증성 간질환 | K75 |
| | 1. 기타 및 상세불명 부위의 행동양식 불명 또는 미상의 신생물 | D47.1, D47.3, D47.4, D47.5 |
| | 1. 기타 및 상세불명 부위의 행동양식 불명 또는 미상의 신생물 | D48 |
| | 1. 거미막하출혈 | I60 |
| | 2. 뇌내출혈 | I61 |
| | 3. 기타 비외상성 두개내출혈 | I62 |
| | 4. 뇌경색증 | I63 |
| | 5. 출혈 또는 경색증으로 명시되지 않은 뇌졸중 | I64 |
| | 6. 뇌경색증을 유발하지 않은 뇌전동맥의 폐쇄 및 협착 | I65 |
| | 7. 뇌경색증을 유발하지 않은 대뇌동맥의 폐쇄 및 협착 | I66 |
| | 8. 기타 뇌혈관질환 | I67 |
| | 9. 달리 분류된 질환에서의 뇌혈관장애 | I68 |
| | 10. 뇌혈관질환의 후유증 | I69 |
| | 1. 협심증 | I20 |
| | 2. 급성심근경색증 | I21 |
| | 3. 후속심근경색증 | I22 |
| | 4. 급성심근경색증 후 특정 현존 합병증 | I23 |
| | 5. 기타 급성 허혈심장질환 | I24 |
| | 6. 만성 허혈심장병 | I25 |
| | 1. 알코올성 간질환 | K70 |
| | 2. 독성간질환 | K71 |
| | 3. 달리 분류되지 않은 간부전 | K72 |
| | 4. 달리 분류되지 않은 만성 간염 | K73 |
| | 5. 간의 섬유증 및 경변증 | K74 |
| | 6. 기타 염증성 간질환 | K75 |
| | 1. 기타 및 상세불명 부위의 행동양식 불명 또는 미상의 신생물 | D47.1, D47.3, D47.4, D47.5 |
| | 1. 기타 및 상세불명 부위의 행동양식 불명 또는 미상의 신생물 | D48 |
| | 1. 거미막하출혈 | I60 |
| | 2. 뇌내출혈 | I61 |
| | 3. 기타 비외상성 두개내출혈 | I62 |
| | 4. 뇌경색증 | I63 |
| | 5. 출혈 또는 경색증으로 명시되지 않은 뇌졸중 | I64 |
| | 6. 뇌경색증을 유발하지 않은 뇌전동맥의 폐쇄 및 협착 | I65 |
| | 7. 뇌경색증을 유발하지 않은 대뇌동맥의 폐쇄 및 협착 | I66 |
| | 8. 기타 뇌혈관질환 | I67 |
| | 9. 달리 분류된 질환에서의 뇌혈관장애 | I68 |
