total 80 page 1
e06616 | j01490 | (간편)암다빈치로봇수술특약 | 제2-1조의6 "수술"의 정의와 장소 | score 0.0494403
e23905 | j05724 | (간편)3대질병간병인사용입원특약 | 제2-2조 보험금의 지급사유 | score 0.0477012
e11404 | j02491 | (간편)암직접치료상급종합병원통원특약 | 제2-1조의8 “암, 대장점막내암, 비침습방광암, 기타피부암, 갑상선암, 제자리암 또는 경계성종양의 직접적인 | score 0.0424629
e10622 | j02326 | (간편)암직접치료입원특약 | 제2-1조의8 "입원"의 정의와 장소 | score 0.0421765
e07641 | j01697 | (간편)항암방사선치료특약 | 제2-12조 주계약 약관 규정의 준용 | score 0.0385323
e23604 | j05658 | (간편)3대질병간병인사용입원특약 | 제2-2조 보험금의 지급사유 | score 0.0379818
e24049 | j05739 | (간편)3대질병간병인사용입원특약 | 제2-12조 주계약 약관 규정의 준용 | score 0.0371993
e07421 | j01645 | (간편)암주요치료비특약 | 제2-12조 주계약 약관 규정의 준용 | score 0.0354324
e11150 | j02436 | (간편)암직접치료통원특약 | 제2-1조의8 “암, 대장점막내암, 비침습방광암, 기타피부암, 갑상선암, 제자리 | score 0.0339908
e09226 | j02009 | (간편)항암호르몬약물허가치료특약 | 제2-1조의10 "암, 대장점막내암, 비침습방광암 또는 갑상선암의 직접적인 항 | score 0.0322665
e06475 | j01451 | (간편)암수술특약 | 제2-12조 주계약 약관 규정의 준용 | score 0.030896
e11270 | j02452 | (간편)암직접치료통원특약 | 제2-12조 주계약 약관 규정의 준용 | score 0.0305002
e11169 | j02438 | (간편)암직접치료통원특약 | 제2-2조 보험금의 지급사유 | score 0.0292433
e08559 | j01855 | (간편)항암약물치료특약 | 제2-12조 주계약 약관 규정의 준용 | score 0.0290966
e09224 | j02008 | (간편)항암호르몬약물허가치료특약 | 제2-1조의9 "수술"의 정의와 장소 | score 0.0282832
e11400 | j02490 | (간편)암직접치료상급종합병원통원특약 | 제2-1조의7 "상급종합병원 통원"의 정의와 장소 | score 0.0266879
e11421 | j02493 | (간편)암직접치료상급종합병원통원특약 | 제2-2조 보험금의 지급사유 | score 0.0253289
e10640 | j02328 | (간편)암직접치료입원특약 | 제2-2조 보험금의 지급사유 | score 0.0248883
e06372 | j01435 | (간편)암수술특약 | 제2-1조의7 "수술"의 정의와 장소 | score 0.0232965
e00126 | j00006 | 주계약((간편)신한통합건강보장보험 원(ONE) | # 熊 | score 0.0229035
e08456 | j01841 | (간편)항암약물치료특약 | 제2-2조 보험금의 지급사유 | score 0.0228213
e09351 | j02027 | (간편)항암호르몬약물허가치료특약 | 제2-12조 주계약 약관 규정의 준용 | score 0.0218743
e11534 | j02508 | (간편)암직접치료상급종합병원통원특약 | 제2-12조 주계약 약관 규정의 준용 | score 0.0216436
e07538 | j01683 | (간편)항암방사선치료특약 | 제2-2조 보험금의 지급사유 | score 0.0213661
e07776 | j01733 | (간편)항암세기조절방사선치료특약 | 제2-1조의7 "항암세기조절방사선치료"의 정의 | score 0.0196049
e09058 | j01965 | (간편)카티(CAR-T)항암약물허가치료특약 | 제2-12조 주계약 약관 규정의 준용 | score 0.0173077
e23731 | j05673 | (간편)3대질병간병인사용입원특약 | 제2-12조 주계약 약관 규정의 준용 | score 0.0168028
e09187 | j02005 | (간편)항암호르몬약물허가치료특약 | 제2-1조의6 "항암약물치료"의 정의 | score 0.0167832
e06378 | j01437 | (간편)암수술특약 | 제2-2조 보험금의 지급사유 | score 0.0163779
e06510 | j01461 | (간편)암다빈치로봇수술특약 | 제2-1조의6 "수술"의 정의와 장소 | score 0.016129
c02014 | j02398 | (간편)요양병원암입원특약 |  | score 0.015625
e09086 | j01978 | (간편)항암호르몬약물허가치료특약 | 제2-1조의10 “암, 대장점막내암, 비침습방광암 또는 갑상선암의 직접적인 치료”의 정의 | score 0.0153846
e08333 | j01803 | (간편)항암양성자방사선치료특약 | 제2-12조 주계약 약관 규정의 준용 | score 0.0152556
e07985 | j01785 | (간편)항암양성자방사선치료특약 | 제2-1조의7 "항암양성자방사선치료"의 정의 | score 0.0152356
c01884 | j02287 | (간편)급여바늘생검조직병리진단특약 | 제2-12조 주계약 약관 규정의 준용 | score 0.0151515
c01047 | j01298 | (간편)[삭감없음용]남녀특정암진단특약 |  | score 0.0149254
e06626 | j01491 | (간편)암다빈치로봇수술특약 | 제2-1조의8 “다빈치로봇수술”의 정의 | score 0.0149254
c01213 | j01512 | (간편)암치료통합보장특약 | 제1편 일반사항 | score 0.0147059
e32327 | j07597 | (간편)[소액암진단형]보험료납입보조특약 |  | score 0.0144928
e29395 | j07200 | (간편)[급여입원수술형]보험료납입보조특약 | 제2-12조 주계약 약관 규정의 준용 | score 0.0141889
