total: 80 page: 1
e18014 | (간편)1-5종수술특약 | 제2-12조 주계약 약관 규정의 준용 | 1~5종 수술분류표 별첨2 [표 24] 참조 _____________________________________________________________ _____________
e17849 | (간편)1-5종수술특약 | 제2-12조 주계약 약관 규정의 준용 | $ \underline{ \text{The text in the image cannot be extracted.}} $ 부표2-2 1~5종 수술분류표 별첨2 [표 24] 참조
e31775 | (간편)[소액암진단형]보험료납입보조특약 | ## II. 악성신생물 치료 목적의 수술 | 5. <1 ~ 5종 수술분류표> 상에 열거되지 않은 선진의료적 첨단 수술에 대한 인정 및 적용 기준<1 ~ 5종 수술분류표> 에서의 선진의료적 첨단 수술은 상기 "수술"의 정의에 
e18295 | (간편)1-5종단일금액보장수술특약 | 제2-12조 주계약 약관 규정의 준용 | 1~5종 수술분류표 별첨2 [표 24] 참조 _____________________________________________________________ _____________
e18146 | (간편)1-5종단일금액보장수술특약 | 제2-12조 주계약 약관 규정의 준용 | ---------|----------| | 수술 급여금 | 특약보험기간 중 피보험자가 질병 또는 재해로 인한 그 직접적인 치료를 목적으로 "1~5종 수술분류표"(<부표2-2> 참조
e17911 | (간편)1-5종수술특약 | 제2-1조의4 보장계약 등의 정의 | 이 특약은 "1~5종 수술분류표"(<부표2-2> 참조)에서 정하는 수술종류에 따라 "1종 보장계약", "2종 보장계약", "3종 보장계약", "4종 보장계약", "5종 보장계약"으
e00080 | 주계약((간편)신한통합건강보장보험 원(ONE) |  | 2-3. 특정급성심근경색증 분류표 | 3,299 | | [별첨2] 표 23. 당뇨병 대상 분류표 | 3,301 | | [별첨2] 표 24. 1~5종 수술분류표 | 3,303 | |
e31750 | (간편)[소액암진단형]보험료납입보조특약 |  | [별첨2] 표 23. 당뇨병 대상 분류표 1~5종 수술분류표
e18056 | (간편)1-5종단일금액보장수술특약 | 제2-1조의2 "수술"의 정의와 장소 | 이 특약에 있어서 "수술"이라 함은 의사에 의하여 질병 또는 재해로 인한 직접적인 치료를 목적으로 필요하다고 인정된 경우로서 의료기관에서 의사 의 관리 하에 "1~5종 수술분류표(
e31777 | (간편)[소액암진단형]보험료납입보조특약 |  | 질적으로 내시경(Fiberscope)에 의한 내시경 수술 또는 카테터(Catheter)-고주파 전극 등에 의한 경피적 수술인 경우에는 <1 ~ 5종 수술분류표> 중 '일반 질병 및
e17737 | (간편)1-5종수술특약 | 제2-1조의3 보장계약 등의 정의 | 이 특약은 "1~5종 수술분류표"(<부표2-2> 참조)에서 정하는 수술종류에 따라 "1종 보장계약", "2종 보장계약", "3종 보장계약", "4종 보장계약", "5종 보장계약"으
e00182 | 주계약((간편)신한통합건강보장보험 원(ONE) |  | $\begin{array}{l} \text{The } 1 \text{st term of the geometric series is } 2, \\ \text{the } 2 \text
e17715 | (간편)1-5종수술특약 | 제2-12조 주계약 약관 규정의 준용 | [부표2-2] 1~5종 수술분류표 The following is a markdown table extracted from the provided image:
e19611 | (간편)[기본]신수술특약 | 제2-12조 주계약 약관 규정의 준용 | ※ 이 약관에서 "급여수술"이라 함은 의사에 의하여 피보험자의 "수술보장대상 질병 또는 재해"로 인한 직접적인 치료를 목적으로 필요하다고 인정된 경우로서 의료기관에서 의사의 관리하
e17733 | (간편)1-5종수술특약 | 제2-1조의2 "수술"의 정의와 장소 | 이 특약에 있어서 "수술"이라 함은 의사에 의하여 질병 또는 재해로 인한 직접적인 치료를 목적으로 필요하다고 인정된 경우로서 의료기관에서 의사의 관리 하에 "1~5종 수술분류표(<
