e16165 | (간편)급여뇌심장질환특정검사지원특약 | 제2관 보험금의 지급
e03677 | (간편)[기본]남녀특정암진단특약 | 제2-9조 특약의 소멸
e15905 | (간편)급여뇌심장질환특정검사지원특약 | 제2-9조 특약의 소멸
e24250 | (간편)간병인사용입원특약 | 제2-9조 특약의 소멸
e16121 | (간편)급여뇌심장질환특정검사지원특약 | 제2-12조 주계약 약관 규정의 준용
c05006 | (간편)[뇌혈관질환납입면제형]보험료납입면제특약 | 제2-9조 특약의 소멸
c02291 | (간편)[삭감없음용]허혈심장질환진단특약 | 제2-8조 특약내용의 변경 등
c02343 | (간편)[삭감없음용]허혈심장질환진단특약 | 제2-9조 특약의 소멸
e09278 | (간편)항암호르몬약물허가치료특약 | 제2-6조 보험금 받는 방법의 변경
c01845 | (간편)급여특정NGS유전자패널검사지원특약 | 제2-9조 특약의 소멸
e16080 | (간편)급여뇌심장질환특정검사지원특약 | 제2-11조 해약환급금
e16003 | (간편)급여뇌심장질환특정검사지원특약 | 제2-5조 사고증명서
c03560 | (간편)[9대관절척추질병]신수술특약 | 제2-9조 특약의 소멸
e30398 | (간편)[소액암진단형]보험료납입보조특약 | 제1조 특약의 적용범위 등
e00486 | 주계약((간편)신한통합건강보장보험 원(ONE) | 제13조 계약 전 알릴 의무
e00818 | 주계약((간편)신한통합건강보장보험 원(ONE) | 제1-7조 계약 전 알릴 의무
c03594 | (간편)[21대다빈도생활질병]신수술특약 | 제2-9조 특약의 소멸
c01038 | (간편)[기본]남녀특정암진단특약 | 제2-9조 특약의 소멸
c01077 | (간편)[삭감없음용]남녀특정암진단특약 | 제2-9조 특약의 소멸
e08523 | (간편)항암약물치료특약 | 제2-9조 특약의 소멸
c01266 | (간편)암치료통합보장특약 | 제2-9조 특약의 소멸
e08562 | (간편)항암약물치료특약 | 제2-12조 주계약 약관 규정의 준용
e16383 | (간편)급여뇌심장질환특정검사지원특약 | 제2-9조 특약의 소멸
c00471 | (간편)[3~100%장해형]질병장해특약 | 제2-9조 특약의 소멸
e16544 | (간편)급여뇌심장질환특정검사지원특약 | 제2-9조 특약의 소멸
e08536 | (간편)항암약물치료특약 | 제2-10조 계약자의 임의해지
e08532 | (간편)항암약물치료특약 | 제2-9조의2 "특약의 무효"에 대한 특칙
c03064 | (간편)대상포진·통풍진단특약 | 제2-9조 특약의 소멸
e16706 | (간편)급여뇌심장질환특정검사지원특약 | 제2-9조 특약의 소멸
c03880 | (간편)[180일한도형]첫날부터입원특약 | 제2-9조 특약의 소멸
c03905 | (간편)[30일한도형]첫날부터입원특약 | 제2-9조 특약의 소멸
e07605 | (간편)항암방사선치료특약 | 제2-9조 특약의 소멸
e08479 | (간편)항암약물치료특약 | 제2-6조 보험금 받는 방법의 변경
e08503 | (간편)항암약물치료특약 | 제2-8조 특약내용의 변경 등
e08484 | (간편)항암약물치료특약 | 제2-7조 보험수익자의 지정
c01114 | (간편)일반암생활비보장특약 | 제2-9조 특약의 소멸
e08791 | (간편)표적항암약물허가치료특약 | 제1-10조(특약의 무효) 제1항 이외에 다음에 해당되는 경우에는 이 특약
e09060 | (간편)카티(CAR-T)항암약물허가치료특약 | 제2-12조 주계약 약관 규정의 준용
c04420 | (간편)중증화상산정특례대상보장특약 | 제2-9조 특약의 소멸
e14294 | (간편)혈전용해치료특약 | 제2-12조 주계약 약관 규정의 준용
