QUERY: 급여주요뇌심장질환특정재활치료특약의 단순재활치료 급여금은 어떤 경우에 지급되며, 하루와 연간 지급 횟수는 어떻게 제한되나요?
e00196 | 주계약((간편)신한통합건강보장보험 원(ONE) | # 보장한도 | score=0.096131
e09604 | (간편)급여암특정재활치료특약 | 제2-12조 주계약 약관 규정의 준용 | score=0.0565011
e15539 | (간편)뇌혈관·허혈심장질환주요치료비특약 | 제2-12조 주계약 약관 규정의 준용 | score=0.050305
e15741 | (간편)급여주요뇌심장질환특정재활치료특약 | 제2-12조 주계약 약관 규정의 준용 | score=0.0474096
e15636 | (간편)급여주요뇌심장질환특정재활치료특약 | 제2-1조의5 "급여 주요뇌심장질환 특정재활치료(단순재활치료)"의 정의 | score=0.0407872
e15629 | (간편)급여주요뇌심장질환특정재활치료특약 | 제2-1조의4 “급여 주요뇌심장질환 특정재활치료(기본물리치료)”의 정의 | score=0.0365594
e09488 | (간편)급여암특정재활치료특약 | 제2-1조의7 "급여암특정재활치료(단순재활치료)"의 정의 | score=0.0335305
e15642 | (간편)급여주요뇌심장질환특정재활치료특약 | 제2-1조의6 “급여 주요뇌심장질환 특정재활치료(전문재활치료 및 기타이학 요법)”의 정의 | score=0.0334517
e15648 | (간편)급여주요뇌심장질환특정재활치료특약 | 제2-2조 보험금의 지급사유 | score=0.0322665
e09501 | (간편)급여암특정재활치료특약 | 제2-2조 보험금의 지급사유 | score=0.0292063
e18927 | (간편)[난이도별]신수술특약 | 제2-3조 보험금 지급에 관한 세부규정 | score=0.0267577
e15050 | (간편)뇌혈관·허혈심장질환통원특약 | 제2-2조 보험금의 지급사유 | score=0.0264858
e00197 | 주계약((간편)신한통합건강보장보험 원(ONE) | # 보장한도 연간 1회한 | score=0.0254729
e20251 | (간편)[9대관절척추질병]신수술특약 | 제2-3조 보험금 지급에 관한 세부규정 | score=0.0252241
e25118 | (간편)중증질환자[뇌혈관질환]산정특례대상보장특약 | 제2-3조 보험금 지급에 관한 세부규정 | score=0.0251671
e18697 | (간편)[질병별]신수술특약 | 제2-3조 보험금 지급에 관한 세부규정 | score=0.024359
e15654 | (간편)급여주요뇌심장질환특정재활치료특약 | 제2-3조 보험금 지급에 관한 세부규정 | score=0.0228729
e15930 | (간편)급여뇌심장질환특정검사지원특약 | 제2-12조 주계약 약관 규정의 준용 | score=0.0224694
c00083 | 주계약((간편)신한통합건강보장보험 원(ONE) |  | score=0.0217494
e19316 | (간편)[21대다빈도생활질병]신수술특약 | 제2-3조 보험금 지급에 관한 세부규정 | score=0.021509
e15437 | (간편)뇌혈관·허혈심장질환주요치료비특약 | 제2-2조 보험금의 지급사유 | score=0.0205566
e29734 | (간편)[급여입원수술형]보험료납입보조특약 | 제2-3조 보험금 지급에 관한 세부규정 | score=0.0198157
e10009 | (간편)급여6대질병진단검사지원특약 | 제2-3조 보험금 지급에 관한 세부규정 | score=0.0193973
e15220 | (간편)뇌혈관·허혈심장질환상급종합병원통원특약 | 제2-2조 보험금의 지급사유 | score=0.0192835
e09510 | (간편)급여암특정재활치료특약 | 제2-3조 보험금 지급에 관한 세부규정 | score=0.018947
e11434 | (간편)암직접치료상급종합병원통원특약 | 제2-3조 보험금 지급에 관한 세부규정 | score=0.0188811
e15143 | (간편)뇌혈관·허혈심장질환통원특약 | 제2-12조 주계약 약관 규정의 준용 | score=0.0188117
e19121 | (간편)[9대관절척추질병]신수술특약 | 제2-3조 보험금 지급에 관한 세부규정 | score=0.0185201
e25218 | (간편)중증질환자[뇌혈관질환]산정특례대상보장특약 | 제2-12조 주계약 약관 규정의 준용 | score=0.0179487
e20441 | (간편)[21대다빈도생활질병]신수술특약 | 제2-3조 보험금 지급에 관한 세부규정 | score=0.0168779
e25390 | (간편)중증화상산정특례대상보장특약 | 제2-12조 주계약 약관 규정의 준용 | score=0.0167112
e25034 | (간편)중증질환자[심장질환]산정특례대상보장특약 | 제2-12조 주계약 약관 규정의 준용 | score=0.0166678
e20056 | (간편)[난이도별]신수술특약 | 제2-3조 보험금 지급에 관한 세부규정 | score=0.0161964
e15229 | (간편)뇌혈관·허혈심장질환상급종합병원통원특약 | 제2-3조 보험금 지급에 관한 세부규정 | score=0.0159524
e10503 | (간편)급여바늘생검조직병리진단특약 | 제2-12조 주계약 약관 규정의 준용 | score=0.015735
e20322 | (간편)[9대관절척추질병]신수술특약 | 제2-12조 주계약 약관 규정의 준용 | score=0.0156986
e07295 | (간편)암주요치료비특약 | 제2-3조 보험금 지급에 관한 세부규정 | score=0.0153321
e14467 | (간편)뇌혈관·허혈심장질환입원특약 | 제2-12조 주계약 약관 규정의 준용 | score=0.0151986
e15561 | (간편)급여주요뇌심장질환특정재활치료특약 | 제2-1조의5 “급여 주요뇌심장질환 특정재활치료(단순재활치료)”의 정의 | score=0.0151515
e15325 | (간편)뇌혈관·허혈심장질환상급종합병원통원특약 | 제2-12조 주계약 약관 규정의 준용 | score=0.0146522
