e14676 | (간편)뇌혈관·허혈심장질환상급종합병원입원특약 | 제2-12조 주계약 약관 규정의 준용 | score=0.0146011
e09378 | (간편)급여암특정재활치료특약 | 제2-1조의7 "급여암특정재활치료(단순재활치료)"의 정의 | score=0.0144928
e14829 | (간편)뇌혈관질환수술특약 | 제2-12조 주계약 약관 규정의 준용 | score=0.0143563
c02655 | (간편)뇌혈관·허혈심장질환통원특약 | 제2-4조 보험금을 지급하지 않는 사유 | score=0.0142857
e15583 | (간편)급여주요뇌심장질환특정재활치료특약 | 제2-12조 주계약 약관 규정의 준용 | score=0.0142857
e24947 | (간편)중증질환자[심장질환]산정특례대상보장특약 | 제2-3조 보험금 지급에 관한 세부규정 | score=0.0142067
e10420 | (간편)급여바늘생검조직병리진단특약 | 제2-3조 보험금 지급에 관한 세부규정 | score=0.014124
e15562 | (간편)급여주요뇌심장질환특정재활치료특약 | 제2-1조의6 “급여 주요뇌심장질환 특정재활치료(전문재활치료 및 기타이학요법)”의 정의 | score=0.0138889
e10226 | (간편)급여특정NGS유전자패널검사지원특약 | 제2-3조 보험금 지급에 관한 세부규정 | score=0.0137365
e15560 | (간편)급여주요뇌심장질환특정재활치료특약 | 제2-1조의4 “급여 주요뇌심장질환 특정재활치료(기본물리치료)”의 정의 | score=0.0135135
e18146 | (간편)1-5종단일금액보장수술특약 | 제2-12조 주계약 약관 규정의 준용 | score=0.0134815
e18666 | (간편)[질병별]신수술특약 | 제2-2조 보험금의 지급사유 | score=0.0134662
e15563 | (간편)급여주요뇌심장질환특정재활치료특약 | 제2관 보험금의 지급 | score=0.0131579
e12307 | (간편)[삭감없음용]뇌혈관질환진단특약 | 제2-12조 주계약 약관 규정의 준용 | score=0.0130408
e15643 | (간편)급여주요뇌심장질환특정재활치료특약 | 제2관 보험금의 지급 | score=0.012987
e12149 | (간편)[기본]뇌혈관질환진단특약 | 제2-12조 주계약 약관 규정의 준용 | score=0.012963
e15570 | (간편)급여주요뇌심장질환특정재활치료특약 | 제3관 특약의 성립과 유지 | score=0.0128205
e15686 | (간편)급여주요뇌심장질환특정재활치료특약 | 제3관 특약의 성립과 유지 | score=0.0126582
e15553 | (간편)급여주요뇌심장질환특정재활치료특약 | 제1편 일반사항 | score=0.0125
c02725 | (간편)뇌혈관·허혈심장질환주요치료비특약 | 제2-4조 보험금을 지급하지 않는 사유 | score=0.0123457
e15555 | (간편)급여주요뇌심장질환특정재활치료특약 | 제2편 개별사항 | score=0.0123457
e15577 | (간편)급여주요뇌심장질환특정재활치료특약 | 제5관 기타사항 | score=0.0121951
e15589 | (간편)급여주요뇌심장질환특정재활치료특약 | 제1편 일반사항 | score=0.0120482
c04411 | (간편)중증화상산정특례대상보장특약 | 제2-3조 보험금 지급에 관한 세부규정 | score=0.0120482
e15592 | (간편)급여주요뇌심장질환특정재활치료특약 | 제2편 개별사항 | score=0.0119048
e11907 | (간편)[삭감없음용]뇌혈관질환진단특약 | 제2-3조 보험금 지급에 관한 세부규정 | score=0.0118092
e15736 | (간편)급여주요뇌심장질환특정재활치료특약 | 제5관 기타사항 | score=0.0117647
e15685 | (간편)급여주요뇌심장질환특정재활치료특약 | 제2-7조 보험수익자의 지정 | score=0.0116279
e15567 | (간편)급여주요뇌심장질환특정재활치료특약 | 제2-5조 사고증명서 | score=0.0114943
e15662 | (간편)급여주요뇌심장질환특정재활치료특약 | 제2-5조 사고증명서 | score=0.0113636
e14739 | (간편)뇌혈관질환수술특약 | 제2-2조 보험금의 지급사유 | score=0.0112665
e15556 | (간편)급여주요뇌심장질환특정재활치료특약 | 제1관 용어의 정의 등 | score=0.011236
e15593 | (간편)급여주요뇌심장질환특정재활치료특약 | 제1관 용어의 정의 등 | score=0.0111111
e15699 | (간편)급여주요뇌심장질환특정재활치료특약 | 제2-8조 특약내용의 변경 등 | score=0.010989
c03334 | (간편)[9대관절척추질병]신수술특약 | 제2-2조 보험금의 지급사유 | score=0.010989
e15569 | (간편)급여주요뇌심장질환특정재활치료특약 | 제2-7조 보험수익자의 지정 | score=0.0108696
e15571 | (간편)급여주요뇌심장질환특정재활치료특약 | 제2-8조 특약내용의 변경 등 | score=0.0106383
e15568 | (간편)급여주요뇌심장질환특정재활치료특약 | 제2-6조 보험금 받는 방법의 변경 | score=0.0104167
c03300 | (간편)[난이도별]신수술특약 | 제2-2조 보험금의 지급사유 | score=0.0104167
e15665 | (간편)급여주요뇌심장질환특정재활치료특약 | 제2-6조 보험금 받는 방법의 변경 | score=0.0103093
